ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,OBJID_SDSS,RA_SDSS,DEC_SDSS,Probability_SDSS
,deg,deg,,,deg,deg,
20230031241,185.304,49.462,0.06280,1237658203974729873,185.306,49.475,0.995
20230031271,120.458,49.483,0.05576,1237663547437285744,120.461,49.484,0.996
20230031227,139.501,49.447,0.01593,1237655107292168199,139.527,49.488,0.982
20230050584,124.531,49.486,0.06890,1237651272422326564,124.540,49.489,0.958
20230031291,23.529,49.507,0.02174,1237671067923120701,23.538,49.496,0.999
20230031323,35.366,49.543,0.01562,1237661057960511483,35.319,49.505,0.000
20230052741,118.906,49.512,0.01152,1237663548510831609,118.910,49.509,0.931
20230031309,137.444,49.522,0.05845,1237655108365451830,137.447,49.531,0.731
20230031315,218.669,49.529,0.00676,1237659119324102821,218.665,49.531,0.921
20230031322,216.829,49.543,0.01290,1237659131135131995,216.828,49.545,0.997
20230031325,241.769,49.546,0.00549,1237651250976522800,241.750,49.545,0.573
20230062858,56.826,49.551,0.03367,1237667138562099666,56.828,49.556,0.994
20230031346,165.587,49.568,0.03284,1237658206116708431,165.597,49.562,0.872
20230031350,130.620,49.575,0.05077,1237654383586246844,130.615,49.570,0.998
20230051478,144.959,49.573,0.05690,1237657770171237027,144.966,49.571,0.861
20230031347,213.995,49.572,0.01358,1237662302971363676,213.994,49.571,1.000
20230031367,117.954,49.598,0.06056,1237663916264653145,117.969,49.586,0.938
20230031358,163.862,49.590,0.00439,1237657855531614682,163.859,49.592,0.917
20230031365,175.956,49.596,0.03408,1237658204508979426,175.947,49.597,0.975
20230062866,55.988,49.632,0.03332,1237667139098837238,56.009,49.609,0.998
20230031384,122.581,49.618,0.05420,1237651496833515858,122.580,49.611,0.709
20230051372,195.681,49.612,0.05402,1237661151378473475,195.683,49.613,0.981
20230062863,56.670,49.608,0.03364,1237667138562099625,56.668,49.613,0.991
20230031390,145.396,49.626,0.05474,1237657632726123850,145.395,49.624,0.937
20230062864,59.485,49.618,0.03283,1237666462640833886,59.479,49.625,0.994
20230051456,130.971,49.627,0.05035,1237653614255669462,130.975,49.626,0.999
20230031396,143.472,49.631,0.01086,1237657633799406055,143.481,49.631,0.841
20230031400,186.920,49.633,0.02355,1237658612522877712,186.921,49.634,0.966
20230031429,223.968,49.661,0.01366,1237661385997615342,223.965,49.648,0.997
20230062867,56.900,49.641,0.03652,1237667138562098451,56.904,49.648,1.000
20230031414,24.959,49.647,0.06071,1237671066849510740,24.970,49.651,0.993
20230031415,139.712,49.650,0.05127,1237655107292234019,139.718,49.655,0.974
20230031427,174.726,49.660,0.02409,1237658613056340054,174.727,49.660,1.000
20230062868,56.433,49.660,0.03385,1237666464787795372,56.437,49.664,0.995
20230031437,181.157,49.671,0.03412,1237658612521239017,181.157,49.664,0.759
20230031431,226.290,49.665,0.01882,1237661387071946759,226.282,49.664,0.995
20230051560,225.302,49.663,0.04882,1237661417142616247,225.301,49.671,0.971
20230031442,140.150,49.678,0.00202,1237654651495842092,140.152,49.675,0.996
20230052772,220.755,49.679,0.00675,1237659132746727535,220.685,49.676,0.920
20230031443,191.835,49.680,0.03136,1237658204513435827,191.827,49.684,0.996
20230062870,58.561,49.676,0.01578,1237667137488683787,58.523,49.689,0.992
20230031448,169.533,49.686,0.02617,1237658205580886299,169.526,49.690,0.980
20230031454,172.562,49.696,0.04708,1237658205044867261,172.572,49.691,0.967
