ID_FASHI,RA_FASHI,DEC_FASHI,cz_FASHI,AGCNr_ALFALFA,RA_ALFALFA,DEC_ALFALFA,cz_ALFALFA
,deg,deg,km/s,,deg,deg,km/s
20230008538,13.163,32.221,4904.77,101692,13.164,32.218,4909
20230008537,157.608,32.221,7340.70,208892,157.624,32.208,7341
20230058523,195.750,32.220,7186.19,234201,195.738,32.215,7129
20230058521,226.300,32.220,15878.39,254262,226.310,32.213,15869
20230008533,147.421,32.215,1539.06,5259,147.428,32.216,1548
20230058522,335.998,32.214,6639.54,322775,336.008,32.213,6617
20230008531,43.823,32.214,9528.05,124969,43.823,32.225,9535
20230061016,20.540,32.213,10535.58,911,20.525,32.209,10525
20230008525,180.673,32.212,7793.01,229543,180.689,32.211,7793
20230008524,114.449,32.212,8124.14,170346,114.462,32.187,8123
20230008523,113.501,32.211,8060.55,171577,113.510,32.189,8032
20230058520,212.740,32.211,8257.45,729335,212.740,32.211,8288
20230058519,152.442,32.211,15199.87,201098,152.442,32.211,15237
20230061015,20.382,32.211,10496.05,115147,20.378,32.197,10440
20230008519,202.431,32.206,7334.09,234739,202.422,32.216,7404
20230058518,205.366,32.204,4669.93,235078,205.373,32.190,4693
20230008517,155.194,32.203,9617.66,206317,155.200,32.201,9679
20230008513,2.002,32.201,10443.46,104579,2.018,32.212,10447
20230008511,35.837,32.201,10101.93,120199,35.838,32.191,10085
20230008508,115.028,32.199,4049.89,171369,115.045,32.187,4074
20230008504,343.767,32.196,6683.42,321974,343.765,32.196,6635
20230008503,14.023,32.196,5089.07,104603,14.030,32.194,5122
20230053695,200.217,32.195,6928.80,231926,200.232,32.190,6934
20230008501,201.721,32.194,5261.62,8451,201.732,32.196,5280
20230053604,340.036,32.192,7460.96,321428,340.045,32.176,7476
20230008494,341.928,32.191,3862.09,321435,341.929,32.193,3862
20230008491,178.923,32.188,3417.67,210919,178.938,32.186,3418
20230053924,210.319,32.187,10090.82,748402,210.325,32.187,10076
20230008490,345.592,32.186,6396.07,320519,345.599,32.196,6380
20230058516,343.776,32.185,6547.37,320441,343.784,32.171,6562
20230061011,19.582,32.185,10362.73,115202,19.598,32.196,10354
20230008485,31.477,32.182,4202.51,122961,31.480,32.180,4203
20230058517,192.912,32.182,848.79,229439,192.918,32.180,846
20230061010,20.726,32.181,10649.20,113918,20.744,32.173,10650
20230061007,16.349,32.178,5378.89,113901,16.349,32.184,5367
20230008484,169.566,32.177,9966.83,216647,169.580,32.175,9962
20230008477,191.600,32.174,6888.23,728312,191.611,32.182,6923
20230008436,13.527,32.174,7629.05,104492,13.526,32.171,7637
20230008430,37.639,32.174,4778.29,1980,37.637,32.176,4778
20230008476,40.245,32.174,4433.63,120429,40.251,32.176,4432
20230008469,243.589,32.173,4373.87,263826,243.590,32.168,4346
20230053605,340.281,32.164,7315.41,12149,340.284,32.169,7369
20230008444,38.545,32.162,4835.65,123028,38.538,32.168,4834
20230008432,205.072,32.161,7719.61,230540,205.081,32.151,7727
20230008403,41.263,32.158,1585.00,121819,41.263,32.164,1582
20230008439,204.756,32.153,7631.25,231956,204.766,32.146,7633
20230008465,112.613,32.150,4722.86,175110,112.623,32.151,4734
20230008455,143.692,32.147,4332.35,195225,143.695,32.143,4313
20230008418,221.540,32.147,2044.04,245262,221.545,32.145,2049
20230008426,216.912,32.145,3460.09,9268,216.915,32.138,3457
20230008422,17.304,32.144,4633.90,714,17.305,32.148,4634
20230008397,188.232,32.141,6621.52,227327,188.236,32.139,6629
20230008410,240.704,32.139,4239.75,260030,240.712,32.147,4232
20230008404,40.171,32.137,9997.10,123044,40.178,32.141,9994
20230008320,190.953,32.136,645.04,7907,190.977,32.154,649
20230008381,21.549,32.136,4195.04,113923,21.549,32.138,4195
20230008364,22.978,32.134,12379.74,113930,22.976,32.145,12360
20230008395,204.022,32.134,2430.31,239111,204.023,32.136,2432
20230008376,44.640,32.129,10300.71,123064,44.635,32.134,10304
20230008380,21.376,32.128,4663.44,987,21.377,32.139,4653
20230008367,343.336,32.123,6436.82,12230,343.335,32.131,6428
20230008362,179.141,32.123,3126.61,216014,179.146,32.122,3089
20230008359,223.978,32.119,2121.32,249563,223.996,32.112,2120
20230008349,26.280,32.118,11208.24,1224,26.285,32.131,11221
20230008344,189.184,32.116,7080.13,220840,189.194,32.120,7084
20230008353,208.320,32.112,14905.71,748242,208.324,32.119,14861
20230008351,226.514,32.107,12877.57,254287,226.532,32.122,12887
20230008334,18.036,32.106,4977.12,752,18.043,32.121,5013
20230053942,206.925,32.106,7147.22,235232,206.933,32.116,7113
20230008340,27.460,32.106,7083.07,113951,27.469,32.115,7070
20230008343,117.703,32.104,5284.46,175115,117.696,32.104,5281
20230008342,38.822,32.103,4705.59,123033,38.829,32.107,4684
20230008341,42.921,32.102,1470.07,123057,42.925,32.105,1465
20230008333,200.485,32.100,5155.57,728907,200.488,32.100,5160
20230008330,12.659,32.100,5368.08,102808,12.657,32.105,5367
20230053926,199.936,32.099,10898.39,234437,199.938,32.103,10901
20230008324,116.430,32.098,8138.01,170852,116.441,32.109,8137
20230060998,15.053,32.097,4244.48,113885,15.053,32.109,4251
20230008337,28.565,32.096,13483.21,110609,28.560,32.119,13478
20230008312,36.725,32.094,4982.48,1909,36.733,32.097,4990
20230008318,17.215,32.094,10435.32,110065,17.221,32.099,10431
20230058506,148.299,32.093,14943.62,195789,148.299,32.093,14933
20230008372,204.203,32.090,3031.03,8602,204.192,32.093,3031
20230008307,16.884,32.089,14715.08,691,16.896,32.086,14706
20230058507,204.206,32.089,3027.62,8605,204.226,32.093,3008
20230008306,189.695,32.088,4328.53,7812,189.702,32.096,4328
20230008305,185.507,32.087,1138.59,7428,185.516,32.092,1138
20230008304,40.477,32.086,4572.31,2171,40.483,32.089,4563
20230058502,202.157,32.086,4830.43,231948,202.153,32.072,4808
20230008299,189.422,32.083,6981.63,220850,189.433,32.087,6985
20230008298,188.275,32.082,935.33,7704,188.281,32.091,937
20230008297,337.245,32.082,6663.65,321422,337.251,32.085,6669
20230058505,228.262,32.081,9060.54,252476,228.262,32.081,9055
20230008293,3.101,32.079,6577.96,102752,3.102,32.084,6572
20230008292,192.443,32.078,9575.86,221045,192.451,32.081,9570
20230052030,29.932,32.076,5168.09,1470,29.929,32.084,5164
20230008290,20.994,32.076,17597.14,113919,20.990,32.075,17555
20230058504,178.751,32.075,9315.29,212376,178.758,32.079,9326
20230008289,158.240,32.075,7377.07,206528,158.256,32.084,7433
20230008287,181.458,32.073,10545.65,728120,181.467,32.084,10544
20230008285,158.271,32.072,10990.89,206530,158.287,32.069,10989
20230108344,189.118,32.072,7051.65,7779,189.125,32.087,7044
20230008284,149.709,32.071,7832.55,190631,149.713,32.068,7819
20230008283,39.651,32.070,5186.89,2125,39.656,32.068,5195
20230008280,200.828,32.068,5029.31,231928,200.840,32.068,5058
20230008279,29.646,32.068,12898.24,110702,29.630,32.104,12921
20230008277,30.606,32.067,5252.37,1520,30.613,32.072,5264
20230058509,29.642,32.066,12892.15,110703,29.644,32.068,12870
20230008276,42.391,32.065,10243.91,123715,42.397,32.071,10281
20230008274,186.811,32.063,8891.76,728256,186.835,32.075,8885
20230008272,340.097,32.062,7384.45,320305,340.085,32.059,7387
20230008271,223.669,32.062,8931.17,246273,223.668,32.085,8957
20230008269,1.860,32.062,4862.11,100045,1.869,32.070,4862
20230008268,36.738,32.061,5650.09,123011,36.740,32.065,5645
20230008267,231.683,32.060,9808.47,254562,231.684,32.064,9797
20230008263,22.333,32.058,5063.31,1066,22.336,32.062,5069
20230058500,148.614,32.057,1432.39,194099,148.632,32.059,1421
20230008258,36.612,32.056,5048.56,123009,36.625,32.062,5071
20230008255,145.581,32.055,4594.19,195427,145.589,32.054,4591
20230008254,36.429,32.055,5440.28,123006,36.441,32.051,5421
20230008252,26.310,32.054,10777.93,1227,26.314,32.059,10782
20230008251,205.376,32.054,4997.93,239251,205.385,32.054,5010
20230058496,30.060,32.053,4964.84,110725,30.058,32.041,5033
20230008247,13.152,32.050,5334.21,102812,13.151,32.059,5329
20230058498,209.953,32.049,14257.58,232124,209.957,32.046,14309
20230008246,27.522,32.049,5052.35,113952,27.524,32.064,5049
20230008245,201.304,32.047,11047.22,234617,201.312,32.059,11058
20230008242,194.934,32.045,6813.15,221333,194.945,32.042,6814
20230008241,343.734,32.044,7216.73,320437,343.741,32.040,7232
20230008237,348.532,32.040,7124.45,12435,348.534,32.037,7113
20230008232,21.996,32.034,6398.33,1045,21.999,32.032,6411
20230008231,34.841,32.033,5350.19,120161,34.855,32.051,5351
20230008228,24.764,32.033,10557.44,112471,24.775,32.038,10569
20230008226,179.085,32.032,3233.58,6915,179.107,32.052,3234
20230008224,201.810,32.031,7286.30,8455,201.822,32.040,7307
20230008223,34.518,32.031,6114.27,122986,34.519,32.034,6115
20230008222,202.066,32.029,4660.28,8463,202.058,32.026,4659
20230050768,198.926,32.025,15514.04,728797,198.927,32.033,15533
20230008219,205.513,32.024,4703.26,8674,205.522,32.025,4704
20230008216,143.240,32.023,13789.92,195161,143.251,32.025,13807
20230008215,119.876,32.021,3109.23,175120,119.884,32.024,3116
20230008214,156.205,32.021,7052.26,727659,156.210,32.027,7061
20230058495,178.886,32.019,9335.06,217389,178.880,32.026,9337
20230008211,179.188,32.016,3247.94,6920,179.184,32.028,3263
20230008210,45.349,32.016,5970.06,131378,45.355,32.017,5960
20230008209,22.438,32.015,6339.66,110369,22.439,32.016,6332
20230008207,139.317,32.015,14756.80,4908,139.321,32.020,14756
20230008206,126.267,32.015,648.27,181562,126.272,32.020,651
20230008205,194.539,32.013,7986.58,221209,194.537,32.019,7975
20230008202,35.043,32.010,10335.35,122989,35.047,32.015,10332
20230008200,189.681,32.009,6704.32,728269,189.670,32.008,6653
20230008199,42.425,32.008,7613.45,123053,42.426,32.021,7614
20230008195,39.409,32.003,4777.64,123042,39.413,32.006,4781
